Mod:Item:MetaData, Localized Name
industrialupgrade:nugget:21, Кусочек кадмия
industrialupgrade:nugget:22, Кусочек мышьяка
industrialupgrade:nugget:23, Кусочек бария
industrialupgrade:nugget:24, Кусочек висмута
industrialupgrade:nugget:25, Кусочек гадолиния
industrialupgrade:nugget:26, Кусочек галлия
industrialupgrade:nugget:27, Кусочек гафния
industrialupgrade:nugget:28, Кусочек иттрия
industrialupgrade:nugget:29, Кусочек молибдена
industrialupgrade:nugget:30, Кусочек неодима
industrialupgrade:nugget:31, Кусочек ниобия
industrialupgrade:nugget:32, Кусочек палладия
industrialupgrade:nugget:33, Кусочек полония
industrialupgrade:nugget:34, Кусочек стронция
industrialupgrade:nugget:35, Кусочек таллия
industrialupgrade:nugget:36, Кусочек циркония
industrialupgrade:casing:0, Михаловая оболочка
industrialupgrade:casing:1, Алюминиевая оболочка
industrialupgrade:casing:2, Ванадиевая оболочка
industrialupgrade:casing:3, Вольфрамовая оболочка
industrialupgrade:casing:4, Инварная оболочка
industrialupgrade:casing:5, Каравковая оболочка
industrialupgrade:casing:6, Кобальтовая оболочка
industrialupgrade:casing:7, Магниевая оболочка
industrialupgrade:casing:8, Никелевая оболочка
industrialupgrade:casing:9, Платиновая оболочка
industrialupgrade:casing:10, Титановая оболочка
industrialupgrade:casing:11, Хромовая оболочка
industrialupgrade:casing:12, Шпинелевая оболочка
industrialupgrade:casing:13, Электрумовая оболочка
industrialupgrade:casing:14, Серебряная оболочка
industrialupgrade:casing:15, Цинковая оболочка
industrialupgrade:casing:16, Марганцевая оболочка
industrialupgrade:casing:17, Иридиевая оболочка
industrialupgrade:casing:18, Германиевая оболочка
industrialupgrade:casing:19, Бронзовая оболочка
industrialupgrade:casing:20, Медная оболочка
industrialupgrade:casing:21, Золотая оболочка
industrialupgrade:casing:22, Железная оболочка
industrialupgrade:casing:23, Свинцовая оболочка
industrialupgrade:casing:24, Стальная оболочка
industrialupgrade:casing:25, Оловянная оболочка
industrialupgrade:casing:26, Осмиевая оболочка
industrialupgrade:casing:27, Танталиевая оболочка
industrialupgrade:casing:28, Кадмиевая оболочка
industrialupgrade:casing:29, Мышьяковая оболочка
industrialupgrade:casing:30, Бариевая оболочка
industrialupgrade:casing:31, Висмутовая оболочка
industrialupgrade:casing:32, Гадолиниевая оболочка
industrialupgrade:casing:33, Галлиевая оболочка
industrialupgrade:casing:34, Гафниевая оболочка
industrialupgrade:casing:35, Иттриевая оболочка
industrialupgrade:casing:36, Молибденовая оболочка
industrialupgrade:casing:37, Неодимовая оболочка
industrialupgrade:casing:38, Ниобиевая оболочка
industrialupgrade:casing:39, Палладиевая оболочка
industrialupgrade:casing:40, Полониевая оболочка
industrialupgrade:casing:41, Стронциевая оболочка
industrialupgrade:casing:42, Талиевая оболочка
industrialupgrade:casing:43, Циркониевая оболочка
industrialupgrade:casing:44, Адамантитовая оболочка
industrialupgrade:casing:45, Блудстоуновая оболочка
industrialupgrade:casing:46, Драконидовая оболочка
industrialupgrade:casing:47, Метеоритно-железная оболочка
industrialupgrade:casing:48, Мифриловая оболочка
industrialupgrade:casing:49, Орихалковая оболочка
industrialupgrade:crushed:0, Михаловая дроблёная руда
industrialupgrade:crushed:1, Алюминиевая дроблёная руда
industrialupgrade:crushed:2, Ванадиевая дроблёная руда
industrialupgrade:crushed:3, Вольфрамовая дроблёная руда
industrialupgrade:crushed:6, Кобальтовая дроблёная руда
industrialupgrade:crushed:7, Магниевая дроблёная руда
industrialupgrade:crushed:8, Никелевая дроблёная руда
industrialupgrade:crushed:9, Платиновая дроблёная руда
industrialupgrade:crushed:10, Титановая дроблёная руда
industrialupgrade:crushed:11, Хромовая дроблёная руда
industrialupgrade:crushed:12, Шпинелевая дроблёная руда
industrialupgrade:crushed:14, Серебряная дроблёная руда
industrialupgrade:crushed:15, Цинковая дроблёная руда
industrialupgrade:crushed:16, Марганцевая дроблёная руда
industrialupgrade:crushed:17, Иридиевая дроблёная руда
industrialupgrade:crushed:18, Германиевая дроблёная руда
industrialupgrade:crushed:19, Медная дроблёная руда
industrialupgrade:crushed:20, Золотая дроблёная руда
industrialupgrade:crushed:21, Железная дроблёная руда
industrialupgrade:crushed:22, Свинцовая дроблёная руда
industrialupgrade:crushed:23, Оловянная дроблёная руда
industrialupgrade:crushed:24, Урановая дроблёная руда
industrialupgrade:crushed:25, Осмиевая дроблёная руда
industrialupgrade:crushed:26, Танталиевая дроблёная руда
industrialupgrade:crushed:27, Кадмиевая дроблёная руда
industrialupgrade:crushed:28, Мышьяковая дроблёная руда
industrialupgrade:crushed:29, Бариевая дроблёная руда
industrialupgrade:crushed:30, Висмутовая дроблёная руда
industrialupgrade:crushed:31, Гадолиниевая дроблёная руда
industrialupgrade:crushed:32, Галлиевая дроблёная руда
industrialupgrade:crushed:33, Гафниевая дроблёная руда
industrialupgrade:crushed:34, Иттриевая дроблёная руда
industrialupgrade:crushed:35, Молибденовая дроблёная руда
industrialupgrade:crushed:36, Неодимовая дроблёная руда
industrialupgrade:crushed:37, Ниобиевая дроблёная руда
industrialupgrade:crushed:38, Палладиевая дроблёная руда
industrialupgrade:crushed:39, Полониевая дроблёная руда
industrialupgrade:crushed:40, Стронциевая дроблёная руда
industrialupgrade:crushed:41, Талиевая дроблёная руда
industrialupgrade:crushed:42, Циркониевая дроблёная руда
industrialupgrade:itemdoubleplates:0, Плотная михаловая пластина
industrialupgrade:itemdoubleplates:1, Плотная алюминиевая пластина
industrialupgrade:itemdoubleplates:2, Плотная ванадиевая пластина
industrialupgrade:itemdoubleplates:3, Плотная вольфрамовая пластина
industrialupgrade:itemdoubleplates:4, Плотная инварная пластина
industrialupgrade:itemdoubleplates:5, Плотная каравковая пластина
industrialupgrade:itemdoubleplates:6, Плотная кобальтовая пластина
industrialupgrade:itemdoubleplates:7, Плотная магниевая пластина
industrialupgrade:itemdoubleplates:8, Плотная никелевая пластина
industrialupgrade:itemdoubleplates:9, Плотная платиновая пластина
industrialupgrade:itemdoubleplates:10, Плотная титановая пластина
industrialupgrade:itemdoubleplates:11, Плотная хромовая пластина
industrialupgrade:itemdoubleplates:12, Плотная шпинелевая пластина
industrialupgrade:itemdoubleplates:13, Плотная электрумовая пластина
industrialupgrade:itemdoubleplates:14, Плотная серебряная пластина
industrialupgrade:itemdoubleplates:15, Плотная цинковая пластина
industrialupgrade:itemdoubleplates:16, Плотная марганцевая пластина
industrialupgrade:itemdoubleplates:17, Плотная иридиевая пластина
industrialupgrade:itemdoubleplates:18, Плотная германиевая пластина
industrialupgrade:itemdoubleplates:19, Плотная бронзовая пластина
industrialupgrade:itemdoubleplates:20, Плотная медная пластина
industrialupgrade:itemdoubleplates:21, Плотная золотая пластина
industrialupgrade:itemdoubleplates:22, Плотная железная пластина
industrialupgrade:itemdoubleplates:23, Плотная лазуритовая пластина
industrialupgrade:itemdoubleplates:24, Плотная свинцовая пластина
industrialupgrade:itemdoubleplates:25, Плотная обсидиановая пластина
industrialupgrade:itemdoubleplates:26, Плотная стальная пластина
industrialupgrade:itemdoubleplates:27, Плотная оловянная пластина
industrialupgrade:itemdoubleplates:28, Плотная осмиевая пластина
industrialupgrade:itemdoubleplates:29, Плотная танталиевая пластина
industrialupgrade:itemdoubleplates:30, Плотная кадмиевая пластина
industrialupgrade:itemdoubleplates:31, Плотная мышьяковая пластина
industrialupgrade:itemdoubleplates:32, Плотная бариевая пластина
industrialupgrade:itemdoubleplates:33, Плотная висмутовая пластина
industrialupgrade:itemdoubleplates:34, Плотная гадолиниевая пластина
industrialupgrade:itemdoubleplates:35, Плотная галлиевая пластина
industrialupgrade:itemdoubleplates:36, Плотная гафниевая пластина
industrialupgrade:itemdoubleplates:37, Плотная иттриевая пластина
industrialupgrade:itemdoubleplates:38, Плотная молибденовая пластина
industrialupgrade:itemdoubleplates:39, Плотная неодимовая пластина
industrialupgrade:itemdoubleplates:40, Плотная ниобиевая пластина
industrialupgrade:itemdoubleplates:41, Плотная палладиевая пластина
industrialupgrade:itemdoubleplates:42, Плотная полониевая пластина
industrialupgrade:itemdoubleplates:43, Плотная стронциевая пластина
industrialupgrade:itemdoubleplates:44, Плотная талиевая пластина
industrialupgrade:itemdoubleplates:45, Плотная циркониевая пластина
industrialupgrade:itemdoubleplates:46, Плотная адамантитовая пластина
industrialupgrade:itemdoubleplates:47, Плотная блудстоуновая пластина
industrialupgrade:itemdoubleplates:48, Плотная драконидовая пластина
industrialupgrade:itemdoubleplates:49, Плотная метеоритно-железная пластина
industrialupgrade:itemdoubleplates:50, Плотная мифриловая пластина
industrialupgrade:itemdoubleplates:51, Плотная орихалковая пластина
industrialupgrade:itemplates:0, Михаловая пластина
industrialupgrade:itemplates:1, Алюминиевая пластина
industrialupgrade:itemplates:2, Ванадиевая пластина
industrialupgrade:itemplates:3, Вольфрамовая пластина
industrialupgrade:itemplates:4, Инварная пластина
industrialupgrade:itemplates:5, Каравковая пластина
industrialupgrade:itemplates:6, Кобальтовая пластина
industrialupgrade:itemplates:7, Магниевая пластина
industrialupgrade:itemplates:8, Никелевая пластина
industrialupgrade:itemplates:9, Платиновая пластина
industrialupgrade:itemplates:10, Титановая пластина
industrialupgrade:itemplates:11, Хромовая пластина
industrialupgrade:itemplates:12, Шпинелевая пластина
industrialupgrade:itemplates:13, Электрумовая пластина
industrialupgrade:itemplates:14, Серебряная пластина
industrialupgrade:itemplates:15, Цинковая пластина
industrialupgrade:itemplates:16, Марганцевая пластина
industrialupgrade:itemplates:17, Иридиевая пластина
industrialupgrade:itemplates:18, Германиевая пластина
industrialupgrade:itemplates:19, Бронзовая пластина
industrialupgrade:itemplates:20, Медная пластина
industrialupgrade:itemplates:21, Золотая пластина
industrialupgrade:itemplates:22, Железная пластина
industrialupgrade:itemplates:23, Лазуритовая пластина
industrialupgrade:itemplates:24, Свинцовая пластина
industrialupgrade:itemplates:25, Обсидиановая пластина
industrialupgrade:itemplates:26, Стальная пластина
industrialupgrade:itemplates:27, Оловянная пластина
industrialupgrade:itemplates:28, Осмиевая пластина
industrialupgrade:itemplates:29, Танталиевая пластина
industrialupgrade:itemplates:30, Кадмиевая пластина
industrialupgrade:itemplates:31, Мышьяковая пластина
industrialupgrade:itemplates:32, Бариевая пластина
industrialupgrade:itemplates:33, Висмутовая пластина
industrialupgrade:itemplates:34, Гадолиниевая пластина
industrialupgrade:itemplates:35, Галлиевая пластина
industrialupgrade:itemplates:36, Гафниевая пластина
industrialupgrade:itemplates:37, Иттриевая пластина
industrialupgrade:itemplates:38, Молибденовая пластина
industrialupgrade:itemplates:39, Неодимовая пластина
industrialupgrade:itemplates:40, Ниобиевая пластина
industrialupgrade:itemplates:41, Палладиевая пластина
industrialupgrade:itemplates:42, Полониевая пластина
industrialupgrade:itemplates:43, Стронциевая пластина
industrialupgrade:itemplates:44, Талиевая пластина
industrialupgrade:itemplates:45, Циркониевая пластина
industrialupgrade:itemplates:46, Адамантитовая пластина
industrialupgrade:itemplates:47, Блудстоуновая пластина
industrialupgrade:itemplates:48, Драконидовая пластина
industrialupgrade:itemplates:49, Метеоритно-железная пластина
industrialupgrade:itemplates:50, Мифриловая пластина
industrialupgrade:itemplates:51, Орихалковая пластина
industrialupgrade:purifiedcrushed:0, Михаловая очищенная дроблёная руда
industrialupgrade:purifiedcrushed:1, Алюминиевая очищенная дроблёная руда
industrialupgrade:purifiedcrushed:2, Ванадиевая очищенная дроблёная руда
industrialupgrade:purifiedcrushed:3, Вольфрамовая очищенная дроблёная руда
industrialupgrade:purifiedcrushed:6, Кобальтовая очищенная дроблёная руда
industrialupgrade:purifiedcrushed:7, Магниевая очищенная дроблёная руда
industrialupgrade:purifiedcrushed:8, Никелевая очищенная дроблёная руда
industrialupgrade:purifiedcrushed:9, Платиновая очищенная дроблёная руда
industrialupgrade:purifiedcrushed:10, Титановая очищенная дроблёная руда
industrialupgrade:purifiedcrushed:11, Хромовая очищенная дроблёная руда
industrialupgrade:purifiedcrushed:12, Шпинелевая очищенная дроблёная руда
industrialupgrade:purifiedcrushed:14, Серебряная очищенная дроблёная руда
industrialupgrade:purifiedcrushed:15, Цинковая очищенная дроблёная руда
industrialupgrade:purifiedcrushed:16, Марганцевая очищенная дроблёная руда
industrialupgrade:purifiedcrushed:17, Иридиевая очищенная дроблёная руда
industrialupgrade:purifiedcrushed:18, Германиевая очищенная дроблёная руда
industrialupgrade:purifiedcrushed:19, Медная очищенная дроблёная руда
industrialupgrade:purifiedcrushed:20, Золотая очищенная дроблёная руда
industrialupgrade:purifiedcrushed:21, Железная очищенная дроблёная руда
industrialupgrade:purifiedcrushed:22, Свинцовая очищенная дроблёная руда
industrialupgrade:purifiedcrushed:23, Оловянная очищенная дроблёная руда
industrialupgrade:purifiedcrushed:24, Урановая очищенная дроблёная руда
industrialupgrade:purifiedcrushed:25, Осмиевая очищенная дроблёная руда
industrialupgrade:purifiedcrushed:26, Танталиевая очищенная дроблёная руда
industrialupgrade:purifiedcrushed:27, Кадмиевая очищенная дроблёная руда
industrialupgrade:purifiedcrushed:28, Мышьяковая очищенная дроблёная руда
industrialupgrade:purifiedcrushed:29, Бариевая очищенная дроблёная руда
industrialupgrade:purifiedcrushed:30, Висмутовая очищенная дроблёная руда
industrialupgrade:purifiedcrushed:31, Гадолиниевая очищенная дроблёная руда
industrialupgrade:purifiedcrushed:32, Галлиевая очищенная дроблёная руда
industrialupgrade:purifiedcrushed:33, Гафниевая очищенная дроблёная руда
industrialupgrade:purifiedcrushed:34, Иттриевая очищенная дроблёная руда
industrialupgrade:purifiedcrushed:35, Молибденовая очищенная дроблёная руда
industrialupgrade:purifiedcrushed:36, Неодимовая очищенная дроблёная руда
industrialupgrade:purifiedcrushed:37, Ниобиевая очищенная дроблёная руда
industrialupgrade:purifiedcrushed:38, Палладиевая очищенная дроблёная руда
industrialupgrade:purifiedcrushed:39, Полониевая очищенная дроблёная руда
industrialupgrade:purifiedcrushed:40, Стронциевая очищенная дроблёная руда
industrialupgrade:purifiedcrushed:41, Талиевая очищенная дроблёная руда
industrialupgrade:purifiedcrushed:42, Циркониевая очищенная дроблёная руда
industrialupgrade:smalldust:0, Кучка михаловой пыли
industrialupgrade:smalldust:1, Кучка алюминиевой пыли
industrialupgrade:smalldust:2, Кучка ванадиевой пыли
industrialupgrade:smalldust:3, Кучка вольфрамовой пыли
industrialupgrade:smalldust:4, Кучка инварной пыли
industrialupgrade:smalldust:5, Кучка каравковой пыли
industrialupgrade:smalldust:6, Кучка кобальтовой пыли
industrialupgrade:smalldust:7, Кучка магниевой пыли
industrialupgrade:smalldust:8, Кучка никелевой пыли
industrialupgrade:smalldust:9, Кучка платиновой пыли
industrialupgrade:smalldust:10, Кучка титановой пыли
industrialupgrade:smalldust:11, Кучка хромовой пыли
industrialupgrade:smalldust:12, Кучка шпинелевой пыли
industrialupgrade:smalldust:13, Кучка электрумовой пыли
industrialupgrade:smalldust:14, Кучка серебряной пыли
industrialupgrade:smalldust:15, Кучка цинковой пыли
industrialupgrade:smalldust:16, Кучка марганцевой пыли
industrialupgrade:smalldust:17, Кучка иридиевой пыли
industrialupgrade:smalldust:18, Кучка германиевой пыли
industrialupgrade:smalldust:19, Кучка бронзовой пыли
industrialupgrade:smalldust:20, Кучка медной пыли
industrialupgrade:smalldust:21, Кучка золотой пыли
industrialupgrade:smalldust:22, Кучка железной пыли
industrialupgrade:smalldust:23, Кучка лазуритовой пыли
industrialupgrade:smalldust:24, Кучка свинцовой пыли
industrialupgrade:smalldust:25, Кучка обсидиановой пыли
industrialupgrade:smalldust:26, Кучка серной пыли
industrialupgrade:smalldust:27, Кучка оловянной пыли
industrialupgrade:smalldust:28, Кучка алмазной пыли
industrialupgrade:smalldust:29, Кучка осмиевой пыли
industrialupgrade:smalldust:30, Кучка танталиевой пыли
industrialupgrade:smalldust:31, Кучка кадмиевой пыли
industrialupgrade:smalldust:32, Кучка мышьяковой пыли
industrialupgrade:smalldust:33, Кучка бариевой пыли
industrialupgrade:smalldust:34, Кучка висмутовой пыли
industrialupgrade:smalldust:35, Кучка гадолиниевой пыли
industrialupgrade:smalldust:36, Кучка галлиевой пыли
industrialupgrade:smalldust:37, Кучка гафниевой пыли
industrialupgrade:smalldust:38, Кучка иттриевой пыли
industrialupgrade:smalldust:39, Кучка молибденовой пыли
industrialupgrade:smalldust:40, Кучка неодимовой пыли
industrialupgrade:smalldust:41, Кучка ниобиевой пыли
industrialupgrade:smalldust:42, Кучка палладиевой пыли
industrialupgrade:smalldust:43, Кучка полониевой пыли
industrialupgrade:smalldust:44, Кучка стронциевой пыли
industrialupgrade:smalldust:45, Кучка талиевой пыли
industrialupgrade:smalldust:46, Кучка циркониевой пыли
industrialupgrade:smalldust:47, Кучка изумрудной пыли
industrialupgrade:smalldust:48, Кучка кварца
industrialupgrade:smalldust:49, Кучка Эндер-жемчуга
industrialupgrade:smalldust:50, Кучка Гаста
industrialupgrade:verysmalldust:0, Небольшая кучка михаловой пыли
industrialupgrade:verysmalldust:1, Небольшая кучка алюминиевой пыли
industrialupgrade:verysmalldust:2, Небольшая кучка ванадиевой пыли
industrialupgrade:verysmalldust:3, Небольшая кучка вольфрамовой пыли
industrialupgrade:verysmalldust:4, Небольшая кучка инварной пыли
industrialupgrade:verysmalldust:5, Небольшая кучка каравковой пыли
industrialupgrade:verysmalldust:6, Небольшая кучка кобальтовой пыли
industrialupgrade:verysmalldust:7, Небольшая кучка магниевой пыли
industrialupgrade:verysmalldust:8, Небольшая кучка никелевой пыли
industrialupgrade:verysmalldust:9, Небольшая кучка платиновой пыли
industrialupgrade:verysmalldust:10, Небольшая кучка титановой пыли
industrialupgrade:verysmalldust:11, Небольшая кучка хромовой пыли
industrialupgrade:verysmalldust:12, Небольшая кучка шпинелевой пыли
industrialupgrade:verysmalldust:13, Небольшая кучка электрумовой пыли
industrialupgrade:verysmalldust:14, Небольшая кучка серебряной пыли
industrialupgrade:verysmalldust:15, Небольшая кучка цинковой пыли
industrialupgrade:verysmalldust:16, Небольшая кучка марганцевой пыли
industrialupgrade:verysmalldust:17, Небольшая кучка иридиевой пыли
industrialupgrade:verysmalldust:18, Небольшая кучка германиевой пыли
industrialupgrade:verysmalldust:19, Небольшая кучка осмиевой пыли
industrialupgrade:verysmalldust:20, Небольшая кучка танталиевой пыли
industrialupgrade:verysmalldust:21, Небольшая кучка кадмиевой пыли
industrialupgrade:stik:0, Михаловая палка
industrialupgrade:stik:1, Алюминиевая палка
industrialupgrade:stik:2, Ванадиевая палка
industrialupgrade:stik:3, Вольфрамовая палка
industrialupgrade:stik:4, Инварная палка
industrialupgrade:stik:5, Каравковая палка
industrialupgrade:stik:6, Кобальтовая палка
industrialupgrade:stik:7, Магниевая палка
industrialupgrade:stik:8, Никелевая палка
industrialupgrade:stik:9, Платиновая палка
industrialupgrade:stik:10, Титановая палка
industrialupgrade:stik:11, Хромовая палка
industrialupgrade:stik:12, Шпинелевая палка
industrialupgrade:stik:13, Электрумовая палка
industrialupgrade:stik:14, Серебряная палка
industrialupgrade:stik:15, Цинковая палка
industrialupgrade:stik:16, Марганцевая палка
industrialupgrade:stik:17, Иридиевая палка
industrialupgrade:stik:18, Германиевая палка
industrialupgrade:stik:19, Осмиевая палка
industrialupgrade:stik:20, Танталиевая палка
industrialupgrade:stik:21, Кадмиевая палка
industrialupgrade:stik:22, Мышьяковая палка
industrialupgrade:stik:23, Бариевая палка
industrialupgrade:stik:24, Висмутовая палка
industrialupgrade:stik:25, Гадолиниевая палка
industrialupgrade:stik:26, Галлиевая палка
industrialupgrade:stik:27, Гафниевая палка
industrialupgrade:stik:28, Иттриевая палка
industrialupgrade:stik:29, Молибденовая палка
industrialupgrade:stik:30, Неодимовая палка
industrialupgrade:stik:31, Ниобиевая палка
industrialupgrade:stik:32, Палладиевая палка
industrialupgrade:stik:33, Полониевая палка
industrialupgrade:stik:34, Стронциевая палка
industrialupgrade:stik:35, Талиевая палка
industrialupgrade:stik:36, Циркониевая палка
industrialupgrade:modules:0, Модуль: Генерация днём I
industrialupgrade:modules:1, Модуль: Генерация днём II
industrialupgrade:modules:2, Модуль: Генерация днём III
industrialupgrade:modules:3, Модуль: Генерация ночью I
industrialupgrade:modules:4, Модуль: Генерация ночью II
industrialupgrade:modules:5, Модуль: Генерация ночью III
industrialupgrade:modules:6, Модуль: Хранилище I
industrialupgrade:modules:7, Модуль: Хранилище II
industrialupgrade:modules:8, Модуль: Хранилище III
industrialupgrade:modules:9, Модуль: Выход I
industrialupgrade:modules:10, Модуль: Выход II
industrialupgrade:modules:11, Модуль: Выход III
industrialupgrade:modules:12, Модуль: Утро, день и вечер I
industrialupgrade:modules:13, Модуль: Утро, день и вечер II
industrialupgrade:modules:14, Модуль: Утро, день и вечер III
industrialupgrade:modules:15, Модуль: Второе Солнце I
industrialupgrade:modules:16, Модуль: Второе Солнце II
industrialupgrade:modules:17, Модуль: Второе Солнце III
industrialupgrade:additionmodule:0, Модуль: Приватность
industrialupgrade:additionmodule:1, Модуль: Повышение уровня панели
industrialupgrade:additionmodule:2, Модуль: Понижение уровня панели
industrialupgrade:additionmodule:3, Модуль: Зарядка предметов
industrialupgrade:additionmodule:4, Модуль: RF-энергия
industrialupgrade:additionmodule:5, Модуль: Мгновенная беспроводная зарядка брони
industrialupgrade:additionmodule:6, Модуль: Мгновенная беспроводная зарядка инструментов
industrialupgrade:additionmodule:7, Модуль: Мгновенная беспроводная зарядка брони (RF)
industrialupgrade:additionmodule:8, Модуль: Мгновенная беспроводная зарядка инструментов (RF)
industrialupgrade:additionmodule:9, Модуль: Очиститель
industrialupgrade:additionmodule:10, Модуль беспроводной связи
industrialupgrade:modultype:0, Модуль: Воздушная панель
industrialupgrade:modultype:1, Модуль: Земляная панель
industrialupgrade:modultype:2, Модуль: Адская панель
industrialupgrade:modultype:3, Модуль: Краевая панель
industrialupgrade:modultype:4, Модуль: Ночная панель
industrialupgrade:modultype:5, Модуль: Дневная панель
industrialupgrade:modultype:6, Модуль: Дождевая панель
industrialupgrade:modulestype:0, Модуль: §6Улучшенная солнечная панель
industrialupgrade:modulestype:1, Модуль: §3Гибридная солнечная панель
industrialupgrade:modulestype:2, Модуль: §9Совершенная солнечная панель
industrialupgrade:modulestype:3, Модуль: §2Квантовая солнечная панель
industrialupgrade:modulestype:4, Модуль: §eСпектральная солнечная панель
industrialupgrade:modulestype:5, Модуль: §5Протонная солнечная панель
industrialupgrade:modulestype:6, Модуль: §8Сингулярная солнечная панель
industrialupgrade:modulestype:7, Модуль: §cДифракционная солнечная панель
industrialupgrade:modulestype:8, Модуль: §aФотонная солнечная панель
industrialupgrade:modulestype:9, Модуль: §9Нейтронная солнечная панель
industrialupgrade:modulestype:10, Модуль: §fБарионная солнечная панель
industrialupgrade:modulestype:11, Модуль: §eАдронная солнечная панель
industrialupgrade:modulestype:12, Модуль: §bГравитонная солнечная панель
industrialupgrade:modulestype:13, Модуль: §8Кварковая солнечная панель
industrialupgrade:wind_meter, Ветромер
industrialupgrade:rotorupgrade_schemes, item.rotorupgrade_schemes.name.name
industrialupgrade:spectral_box, item.spectral_box.name.name
industrialupgrade:adv_spectral_box, item.adv_spectral_box.name.name
industrialupgrade:coal_chunk, item.coal_chunk.name.name
industrialupgrade:raw_latex, item.raw_latex.name.name
industrialupgrade:compresscarbon, item.compresscarbon.name.name
industrialupgrade:compresscarbonultra, item.compresscarbonultra.name.name
industrialupgrade:photoniy, item.photoniy.name.name
industrialupgrade:photoniy_ingot, item.photoniy_ingot.name.name
industrialupgrade:quantumitems2, item.quantumitems2.name.name
industrialupgrade:quantumitems3, item.quantumitems3.name.name
industrialupgrade:expmodule, item.expmodule.name.name
industrialupgrade:quantumitems4, item.quantumitems4.name.name
industrialupgrade:nanobox, item.nanobox.name.name
industrialupgrade:synthetic_rubber, item.synthetic_rubber.name.name
industrialupgrade:synthetic_plate, item.synthetic_plate.name.name
industrialupgrade:module_schedule, item.module_schedule.name.name
industrialupgrade:quantumitems6, item.quantumitems6.name.name
industrialupgrade:quantumitems7, item.quantumitems7.name.name
industrialupgrade:neutronium, item.neutronium.name.name
industrialupgrade:plast, item.plast.name.name
industrialupgrade:charged_redstone, item.charged_redstone.name.name
industrialupgrade:charged_quartz, item.charged_quartz.name.name
industrialupgrade:module_stack, item.module_stack.name.name
industrialupgrade:module_quickly, item.module_quickly.name.name
industrialupgrade:module_storage, item.module_storage.name.name
industrialupgrade:module_infinity_water, item.module_infinity_water.name.name
industrialupgrade:module_separate, item.module_separate.name.name
industrialupgrade:plastic_plate, item.plastic_plate.name.name
industrialupgrade:doublescrapbox, item.doublescrapbox.name.name
industrialupgrade:quarrymodule, item.quarrymodule.name.name
industrialupgrade:analyzermodule, item.analyzermodule.name.name
industrialupgrade:peat_balls, item.peat_balls.name.name
industrialupgrade:cultivated_peat, item.cultivated_peat.name.name
industrialupgrade:radiationresources:0, Кусок америция
industrialupgrade:radiationresources:1, Кусок нептуния
industrialupgrade:radiationresources:2, Кусок кюрия
industrialupgrade:radiationresources:3, Кусок калифорния
industrialupgrade:radiationresources:4, Излучающий торий
industrialupgrade:radiationresources:5, Кусок менделевия
industrialupgrade:radiationresources:6, Кусок берклия
industrialupgrade:radiationresources:7, Кусок эйнштейния
industrialupgrade:radiationresources:8, Уран-233
industrialupgrade:radiationresources:9, Кусок лоуренсия
industrialupgrade:radiationresources:10, Кусок нобелия
industrialupgrade:radiationresources:11, Кусок фермия
industrialupgrade:protonshard, item.protonshard.name
industrialupgrade:proton, item.proton.name
industrialupgrade:toriy, item.toriy.name
industrialupgrade:itemsunnarium:0, Обогащённый соларит
industrialupgrade:itemsunnarium:1, Обогащённая соларитовая пластина
industrialupgrade:itemsunnarium:2, Соларитовая пластина
industrialupgrade:itemsunnarium:3, Соларит
industrialupgrade:itemsunnarium:4, Кусочек соларита
industrialupgrade:itemsunnariumpanel:0, Гибридная соларитовая пластина
industrialupgrade:itemsunnariumpanel:1, Совершенная соларитовая пластина
industrialupgrade:itemsunnariumpanel:2, Квантовая соларитовая пластина
industrialupgrade:itemsunnariumpanel:3, Спектральная соларитовая пластина
industrialupgrade:itemsunnariumpanel:4, Протонная соларитовая пластина
industrialupgrade:itemsunnariumpanel:5, Сингулярная соларитовая пластина
industrialupgrade:itemsunnariumpanel:6, Дифракционная соларитовая пластина
industrialupgrade:itemsunnariumpanel:7, Фотонная соларитовая пластина
industrialupgrade:itemsunnariumpanel:8, Нейтронная соларитовая пластина
industrialupgrade:itemsunnariumpanel:9, Барионная соларитовая пластина
industrialupgrade:itemsunnariumpanel:10, Адронная соларитовая пластина
industrialupgrade:itemsunnariumpanel:11, Гравитонная соларитовая пластина
industrialupgrade:itemsunnariumpanel:12, Кварковая соларитовая пластина
industrialupgrade:anode, item.anode.name
industrialupgrade:cathode, item.cathode.name
industrialupgrade:adv_anode, item.adv_anode.name
industrialupgrade:adv_cathode, item.adv_cathode.name
industrialupgrade:alloycasing:0, Оболочка алюминиевой бронзы
industrialupgrade:alloycasing:1, Оболочка алюминида титана
industrialupgrade:alloycasing:2, Оболочка красной латуни
industrialupgrade:alloycasing:3, Оболочка мунц-металла
industrialupgrade:alloycasing:4, Нихромовая оболочка
industrialupgrade:alloycasing:5, Алькледная оболочка
industrialupgrade:alloycasing:6, Оболочка ванадиево-алюминиевого сплава
industrialupgrade:alloycasing:7, Виталлиевая оболочка
industrialupgrade:alloycasing:8, Дюралюминиевая оболочка
industrialupgrade:alloycasing:9, Ферромарганцевая оболочка
industrialupgrade:alloycasing:10, Оболочка алюминиево-кремниевого сплава
industrialupgrade:alloycasing:11, Оболочка бериллиевой бронзы
industrialupgrade:alloycasing:12, Нейзильберовая оболочка
industrialupgrade:alloycasing:13, Оболочка нержавеющей стали
