Mod:Item:MetaData, Localized Name
industrialupgrade:waterrod:7, Spectral Water Rotor Blade
industrialupgrade:waterrod:8, Mystical Water Rotor Blade
industrialupgrade:waterrod:9, Photonic Water Rotor Blade
industrialupgrade:waterrod:10, Neutron Water Rotor Blade
industrialupgrade:waterrod:11, Baryon Water Rotor Blade
industrialupgrade:waterrod:12, Hadron Water Rotor Blade
industrialupgrade:waterrod:13, Ultramarine Water Rotor Blade
industrialupgrade:excitednucleus:0, Excited Advanced Core
industrialupgrade:excitednucleus:1, Excited Hybrid Core
industrialupgrade:excitednucleus:2, Excited Perfect Core
industrialupgrade:excitednucleus:3, Excited Quantum Core
industrialupgrade:excitednucleus:4, Excited Spectral Core
industrialupgrade:excitednucleus:5, Excited Protonic Core
industrialupgrade:excitednucleus:6, Excited Singular Core
industrialupgrade:excitednucleus:7, Excited Diffractive Core
industrialupgrade:excitednucleus:8, Excited Photonic Core
industrialupgrade:excitednucleus:9, Excited Neutron Core
industrialupgrade:excitednucleus:10, Excited Baryon Core
industrialupgrade:excitednucleus:11, Excited Hadron Core
industrialupgrade:excitednucleus:12, Excited Graviton Core
industrialupgrade:excitednucleus:13, Excited Quark Core
industrialupgrade:templates:0, Scheme Template
industrialupgrade:crafting_elements:0, Anti-radiation Fabric
industrialupgrade:crafting_elements:1, Improved Sensor: Press
industrialupgrade:crafting_elements:2, Improved Sensor: Macerator
industrialupgrade:crafting_elements:3, Improved Sensor: Wind
industrialupgrade:crafting_elements:4, Improved Sensor: Water
industrialupgrade:crafting_elements:5, Improved Sensor: Geothermal
industrialupgrade:crafting_elements:6, Improved Sensor: Liquid
industrialupgrade:crafting_elements:7, Improved Sensor: Residual Products of the Reactor
industrialupgrade:crafting_elements:8, Improved Sensor: Steam
industrialupgrade:crafting_elements:9, Improved Sensor: Refining
industrialupgrade:crafting_elements:10, Enhanced Sensor: Transducer
industrialupgrade:crafting_elements:11, Sensor: Generator
industrialupgrade:crafting_elements:12, Improved Sensor: Ore Flushing
industrialupgrade:crafting_elements:13, Improved Sensor: Radiation
industrialupgrade:crafting_elements:14, Improved Sensor: Reactor Temperature
industrialupgrade:crafting_elements:15, Improved Sensor: Thermal
industrialupgrade:crafting_elements:16, Improved Controller
industrialupgrade:crafting_elements:17, Improved Sensor: Replicator
industrialupgrade:crafting_elements:18, Improved Sensor: Earth
industrialupgrade:crafting_elements:19, Improved Sensor: Plants
industrialupgrade:crafting_elements:20, Improved Electric Motor
industrialupgrade:crafting_elements:21, Sensor Template
industrialupgrade:crafting_elements:22, Sensor: Geothermal
industrialupgrade:crafting_elements:23, Advanced Sensor Template
industrialupgrade:crafting_elements:24, Perfect Sensor Template
industrialupgrade:crafting_elements:25, Enhanced Sensor Template
industrialupgrade:crafting_elements:26, Electron
industrialupgrade:crafting_elements:27, Sensor: Liquid
industrialupgrade:crafting_elements:28, Sensor: Wither
industrialupgrade:crafting_elements:29, Sensor: Magnet
industrialupgrade:crafting_elements:30, Sensor: Night
industrialupgrade:crafting_elements:31, Sensor: Reactor Residue
industrialupgrade:crafting_elements:32, Sensor: Steam
industrialupgrade:crafting_elements:33, Sensor: Refining
industrialupgrade:crafting_elements:34, Sensor: Ore Flushing
industrialupgrade:crafting_elements:35, Experience Container
industrialupgrade:crafting_elements:36, Sensor: Radiation
industrialupgrade:crafting_elements:37, Sensor: Day
industrialupgrade:crafting_elements:38, Sensor: Reactor Temperature
industrialupgrade:crafting_elements:39, Sensor: Thermal
industrialupgrade:crafting_elements:40, Dosimeter
industrialupgrade:crafting_elements:41, Shattering Element
industrialupgrade:crafting_elements:42, Controller
industrialupgrade:crafting_elements:43, Sensor: Tank
industrialupgrade:crafting_elements:44, Sensor: Slot
industrialupgrade:crafting_elements:45, Sensor: Improved Tank
industrialupgrade:crafting_elements:46, Empty Container
industrialupgrade:crafting_elements:47, Sensor: Dual Slot
industrialupgrade:crafting_elements:48, Sensor: Advanced Tank
industrialupgrade:crafting_elements:49, Sensor: Triple Slot
industrialupgrade:crafting_elements:50, Sensor: Perfect Tank
industrialupgrade:crafting_elements:51, Sensor: Quad Slot
industrialupgrade:crafting_elements:52, Sensor: 8x Slot
industrialupgrade:crafting_elements:53, Sensor: Ore
industrialupgrade:crafting_elements:54, Sensor: Mob
industrialupgrade:crafting_elements:55, Sensor: Enrichment
industrialupgrade:crafting_elements:56, Sensor: Fusion
industrialupgrade:crafting_elements:57, Sensor: RF
industrialupgrade:crafting_elements:58, Sensor: Replicator
industrialupgrade:crafting_elements:59, Sensor: Spawner
industrialupgrade:crafting_elements:60, Sensor: Energy
industrialupgrade:crafting_elements:61, Sensor: Earth
industrialupgrade:crafting_elements:62, Sensor: Paint
industrialupgrade:crafting_elements:63, Sensor: Press
industrialupgrade:crafting_elements:64, Sensor: Plant
industrialupgrade:crafting_elements:65, Sensor: Plastic Synthesis
industrialupgrade:crafting_elements:66, Sensor: Enhancement
industrialupgrade:crafting_elements:67, Sensor: Deterioration
industrialupgrade:crafting_elements:68, Sensor: QE
industrialupgrade:crafting_elements:69, Sensor: Crusher
industrialupgrade:crafting_elements:70, Heating Container
industrialupgrade:crafting_elements:71, Sensor: Wind
industrialupgrade:crafting_elements:72, Cooling Container
industrialupgrade:crafting_elements:73, Sensor: Board
industrialupgrade:crafting_elements:74, Sensor: Alloy
industrialupgrade:crafting_elements:75, Sensor: Transforms
industrialupgrade:crafting_elements:76, Press
industrialupgrade:crafting_elements:77, Advanced Sensor: Press
industrialupgrade:crafting_elements:78, Advanced Sensor: Crusher
industrialupgrade:crafting_elements:79, Sensor: SE
industrialupgrade:crafting_elements:80, Advanced Sensor: Wind
industrialupgrade:crafting_elements:81, Advanced Sensor: Water
industrialupgrade:crafting_elements:82, Advanced Sensor: Geothermal
industrialupgrade:crafting_elements:83, Advanced Sensor: Liquid
industrialupgrade:crafting_elements:84, Advanced Sensor: Reactor Residue
industrialupgrade:crafting_elements:85, Advanced Sensor: Steam
industrialupgrade:crafting_elements:86, Advanced Sensor: Refining
industrialupgrade:crafting_elements:87, Advanced Sensor: Ore Flushing
industrialupgrade:crafting_elements:88, Advanced Sensor: Radiation
industrialupgrade:crafting_elements:89, Advanced Sensor: Reactor Temperature
industrialupgrade:crafting_elements:90, Sensor: Wireless
industrialupgrade:crafting_elements:91, Advanced Sensor: Thermal
industrialupgrade:crafting_elements:92, Advanced Controller
industrialupgrade:crafting_elements:93, Advanced Sensor: Replicator
industrialupgrade:crafting_elements:94, Advanced Sensor: Earth
industrialupgrade:crafting_elements:95, Advanced Sensor: Plants
industrialupgrade:crafting_elements:96, Advanced Electric Motor
industrialupgrade:crafting_elements:97, Gas Mask
industrialupgrade:crafting_elements:98, Sensor: Oil Synthesis
industrialupgrade:crafting_elements:99, Sensor: Radiation Fusion
industrialupgrade:crafting_elements:100, Sensor: Synthesis
industrialupgrade:crafting_elements:101, Sensor: Water
industrialupgrade:crafting_elements:102, Perfect Sensor: Press
industrialupgrade:crafting_elements:103, Perfect Sensor: Crusher
industrialupgrade:crafting_elements:104, Perfect Sensor: Wind
industrialupgrade:crafting_elements:105, Perfect Sensor: Water
industrialupgrade:crafting_elements:106, Perfect Sensor: Geothermal
industrialupgrade:crafting_elements:107, Perfect Sensor: Liquid
industrialupgrade:crafting_elements:108, Perfect Sensor: Reactor Residue
industrialupgrade:crafting_elements:109, Perfect Sensor: Steam
industrialupgrade:crafting_elements:110, Perfect Sensor: Refining
industrialupgrade:crafting_elements:111, Perfect Sensor: Ore Flushing
industrialupgrade:crafting_elements:112, Sensor: Air
industrialupgrade:crafting_elements:113, Perfect Sensor: Radiation
industrialupgrade:crafting_elements:114, Perfect Sensor: Reactor Temperature
industrialupgrade:crafting_elements:115, Perfect Sensor: Thermal
industrialupgrade:crafting_elements:116, Perfect Controller
industrialupgrade:crafting_elements:117, Perfect Sensor: Replicator
industrialupgrade:crafting_elements:118, Perfect Sensor: Earth
industrialupgrade:crafting_elements:119, Perfect Sensor: Plants
industrialupgrade:crafting_elements:120, Perfect Electric Motor
industrialupgrade:crafting_elements:121, Technical Fishing Net
industrialupgrade:crafting_elements:122, Pipe Template
industrialupgrade:crafting_elements:123, Sensor: Evaporation
industrialupgrade:crafting_elements:124, Sensor: Combination
industrialupgrade:crafting_elements:125, Improved Sensor: Extruder
industrialupgrade:crafting_elements:126, Advanced Sensor: Extruder
industrialupgrade:crafting_elements:127, Perfect Sensor: Extruder
industrialupgrade:crafting_elements:128, Sensor: Craft
industrialupgrade:crafting_elements:129, Improved Sensor: Craft
industrialupgrade:crafting_elements:130, Advanced Sensor: Craft
industrialupgrade:crafting_elements:131, Perfect Sensor: Craft
industrialupgrade:crafting_elements:132, Sensor: Auto Cutter
industrialupgrade:crafting_elements:133, Improved Sensor: Auto Cutter
industrialupgrade:crafting_elements:134, Advanced Sensor: Automaton Cutter
industrialupgrade:crafting_elements:135, Enhanced Sensor: Combination
industrialupgrade:crafting_elements:136, Perfect Sensor: Automaton Cutter
industrialupgrade:crafting_elements:137, Hull Plating
industrialupgrade:crafting_elements:138, Improved Hull Plating
industrialupgrade:crafting_elements:139, Advanced Hull Plating
industrialupgrade:crafting_elements:140, Perfect Hull Plating
industrialupgrade:crafting_elements:141, Extractor Element
industrialupgrade:crafting_elements:142, Extruder Element
industrialupgrade:crafting_elements:143, Reactor Encoder Template
industrialupgrade:crafting_elements:144, Cutting Machine Element
industrialupgrade:crafting_elements:145, Sensor: Water Matter
industrialupgrade:crafting_elements:146, Advanced Sensor: Combination
industrialupgrade:crafting_elements:147, Sensor: Air Matter
industrialupgrade:crafting_elements:148, Sensor: Solar Matter
industrialupgrade:crafting_elements:149, Sensor: Night Matter
industrialupgrade:crafting_elements:150, Sensor: Infernal Matter
industrialupgrade:crafting_elements:151, Sensor: Solid Matter
industrialupgrade:crafting_elements:152, Sensor: Edge Matter
industrialupgrade:crafting_elements:153, Sensor: Earth Matter
industrialupgrade:crafting_elements:154, Sensor: Liquid Storage
industrialupgrade:crafting_elements:155, Sensor: Acceleration
industrialupgrade:crafting_elements:156, Sensor: Transformer
industrialupgrade:crafting_elements:157, Perfect Sensor: Combination
industrialupgrade:crafting_elements:158, Sensor: Quarry
industrialupgrade:crafting_elements:159, Sensor: Extractor
industrialupgrade:crafting_elements:160, Improved Sensor: Extractor
industrialupgrade:crafting_elements:161, Advanced Sensor: Extractor
industrialupgrade:crafting_elements:162, Perfect Sensor: Extractor
industrialupgrade:crafting_elements:163, Sensor: Extruder
industrialupgrade:crafting_elements:164, Rolling Machine Element
industrialupgrade:crafting_elements:165, Sensor: Rolling Machine
industrialupgrade:crafting_elements:166, Improved Sensor: Rolling Machine
industrialupgrade:crafting_elements:167, Advanced Sensor: Rolling Machine
industrialupgrade:crafting_elements:168, Perfect Sensor: Rolling Machine
industrialupgrade:crafting_elements:169, Power Limiter
industrialupgrade:crafting_elements:170, Sensor: Scanner
industrialupgrade:crafting_elements:171, Improved Sensor: Scanner
industrialupgrade:crafting_elements:172, Advanced Sensor: Scanner
industrialupgrade:crafting_elements:173, Perfect Sensor: Scanner
industrialupgrade:crafting_elements:174, Advanced Sensor: SE
industrialupgrade:crafting_elements:175, Perfect Sensor: SE
industrialupgrade:crafting_elements:176, Enhanced Sensor: SE
industrialupgrade:crafting_elements:177, Advanced Sensor: QE
industrialupgrade:crafting_elements:178, Perfect Sensor: QE
industrialupgrade:crafting_elements:179, Enhanced Sensor: QE
industrialupgrade:crafting_elements:180, Copper Iron Pipe (1)
industrialupgrade:crafting_elements:181, Copper Iron Pipe (2)
industrialupgrade:crafting_elements:182, Copper Iron Pipe (3)
industrialupgrade:crafting_elements:183, Copper Iron Pipe (4)
industrialupgrade:crafting_elements:184, Bottom Rod
industrialupgrade:crafting_elements:185, Top Rod
industrialupgrade:crafting_elements:186, Left Piece of Rod
industrialupgrade:crafting_elements:187, Right Rod
industrialupgrade:crafting_elements:188, Duralumin Silver Tube (1)
industrialupgrade:crafting_elements:189, Duralumin Silver Tube (2)
industrialupgrade:crafting_elements:190, Duralumin Silver Tube (3)
industrialupgrade:crafting_elements:191, Duralumin Silver Tube (4)
industrialupgrade:crafting_elements:192, Improved Rod Right
industrialupgrade:crafting_elements:193, Improved Rod Left
industrialupgrade:crafting_elements:194, Improved Rod Top
industrialupgrade:crafting_elements:195, Improved Rod Bottom
industrialupgrade:crafting_elements:196, Sensor: Distiller
industrialupgrade:crafting_elements:197, Advanced Sensor: Distiller
industrialupgrade:crafting_elements:198, Perfect Sensor: Distiller
industrialupgrade:crafting_elements:199, Improved Sensor: Distiller
industrialupgrade:crafting_elements:200, Rolling Machine Part
industrialupgrade:crafting_elements:201, Distiller Element
industrialupgrade:crafting_elements:202, Advanced Sensor: Mineral
industrialupgrade:crafting_elements:203, Perfect Sensor: Mineral
industrialupgrade:crafting_elements:204, Improved Sensor: Mineral
industrialupgrade:crafting_elements:205, Sensor: Mineral
industrialupgrade:crafting_elements:206, Sensor: LV Transformer
industrialupgrade:crafting_elements:207, Sensor: MV Transformer
industrialupgrade:crafting_elements:208, Sensor: HV Transformer
industrialupgrade:crafting_elements:209, Sensor: EV Transformer
industrialupgrade:crafting_elements:210, Sensor: UV Transformer
industrialupgrade:crafting_elements:211, Sensor: LkV Transformer
industrialupgrade:crafting_elements:212, Sensor: MkV Transformer
industrialupgrade:crafting_elements:213, Sensor: HkV Transformer
industrialupgrade:crafting_elements:214, Sensor: EkV Transformer
industrialupgrade:crafting_elements:215, Sensor: UkV Transformer
industrialupgrade:crafting_elements:216, Sensor: MegaV Transformer
industrialupgrade:crafting_elements:217, Sensor: Angler
industrialupgrade:crafting_elements:218, Sensor: Mechanical Stamp
industrialupgrade:crafting_elements:219, Sensor: Electric Furnace
industrialupgrade:crafting_elements:220, Advanced Sensor: Mechanical Stamp
industrialupgrade:crafting_elements:221, Advanced Sensor: Electric Furnace
industrialupgrade:crafting_elements:222, Perfect Sensor: Mechanical Stamp
industrialupgrade:crafting_elements:223, Perfect Sensor: Electric Furnace
industrialupgrade:crafting_elements:224, Improved Sensor: Mechanical Stamp
industrialupgrade:crafting_elements:225, Improved Sensor: Electric Furnace
industrialupgrade:crafting_elements:226, Sensor: Analyzer
industrialupgrade:crafting_elements:227, Sensor: Cobblestone
industrialupgrade:crafting_elements:228, Sensor: Lava
industrialupgrade:crafting_elements:229, Sensor: Obsidian
industrialupgrade:crafting_elements:230, Sensor: Sand
industrialupgrade:crafting_elements:231, Sensor: Gravel
industrialupgrade:crafting_elements:232, Advanced Sensor: Generator
industrialupgrade:crafting_elements:233, Perfect Sensor: Generator
industrialupgrade:crafting_elements:234, Improved Sensor: Generator
industrialupgrade:crafting_elements:235, Improved Sensor: Alloy
industrialupgrade:crafting_elements:236, Sensor: Gasoline
industrialupgrade:crafting_elements:237, Sensor: Hydrogen
industrialupgrade:crafting_elements:238, Sensor: Helium
industrialupgrade:crafting_elements:239, Sensor: Diesel
industrialupgrade:crafting_elements:240, Sensor: Liquid Matter
industrialupgrade:crafting_elements:241, Sensor: Pump
industrialupgrade:crafting_elements:242, Sensor: Reactor Chamber
industrialupgrade:crafting_elements:243, Sensor: Assembler
industrialupgrade:crafting_elements:244, Sensor: Electrolyzer
industrialupgrade:crafting_elements:245, Advanced Sensor: Pump
industrialupgrade:crafting_elements:246, Advanced Sensor: Reactor Chamber
industrialupgrade:crafting_elements:247, Perfect Sensor: Reactor Chamber
industrialupgrade:crafting_elements:248, Improved Sensor: Pump
industrialupgrade:crafting_elements:249, Improved Sensor: Reactor Chamber
industrialupgrade:crafting_elements:250, Sensor: Quantum Quarry
industrialupgrade:crafting_elements:251, Sensor: Oil
industrialupgrade:crafting_elements:252, Advanced Sensor: Quarry
industrialupgrade:crafting_elements:253, Advanced Sensor: Quantum Quarry
industrialupgrade:crafting_elements:254, Perfect Sensor: Quarry
industrialupgrade:crafting_elements:255, Perfect Sensor: Quantum Quarry
industrialupgrade:crafting_elements:256, Improved Sensor: Quarry
industrialupgrade:crafting_elements:257, Improved Sensor: Quantum Quarry
industrialupgrade:crafting_elements:258, Sensor: Redstone Generator
industrialupgrade:crafting_elements:259, Advanced Sensor: Redstone Generator
industrialupgrade:crafting_elements:260, Perfect Sensor: Redstone Generator
industrialupgrade:crafting_elements:261, Improved Sensor: Redstone Generator
industrialupgrade:crafting_elements:262, Sensor: Welder
industrialupgrade:crafting_elements:263, Sensor: Gas Generator
industrialupgrade:crafting_elements:264, Sensor: Canning
industrialupgrade:crafting_elements:265, Sensor: Filler
industrialupgrade:crafting_elements:266, Sensor: Redstone
industrialupgrade:crafting_elements:267, Sensor: Mixer
industrialupgrade:crafting_elements:268, Sensor: Teleportation
industrialupgrade:crafting_elements:269, Teleport Crystal
industrialupgrade:crafting_elements:270, Teleporter Core
industrialupgrade:crafting_elements:271, Rubber
industrialupgrade:crafting_elements:272, Electronic Circuit
industrialupgrade:crafting_elements:273, Advanced Circuit
industrialupgrade:crafting_elements:274, Advanced Alloy
industrialupgrade:crafting_elements:275, Industrial Iridium
industrialupgrade:crafting_elements:276, Electric Motor
industrialupgrade:crafting_elements:277, Heat Conductor
industrialupgrade:crafting_elements:278, Small Power Unit
industrialupgrade:crafting_elements:279, Power Unit
industrialupgrade:crafting_elements:280, Raw Carbon Fibre
industrialupgrade:crafting_elements:281, Raw Carbon Mesh
industrialupgrade:crafting_elements:282, Carbon Plate
industrialupgrade:crafting_elements:283, Coal Ball
industrialupgrade:crafting_elements:284, Copper Boiler
industrialupgrade:crafting_elements:285, Industrial Iridium Plate
industrialupgrade:crafting_elements:286, Coal Chunk
industrialupgrade:crafting_elements:287, Scrap
industrialupgrade:crafting_elements:288, Scrap Box
industrialupgrade:crafting_elements:289, CF Powder
industrialupgrade:crafting_elements:290, Sticky Resin
industrialupgrade:crafting_elements:291, Industrial Iridium Shard
industrialupgrade:crafting_elements:292, Crystal Memory (raw)
industrialupgrade:crafting_elements:293, Bio Chaff
industrialupgrade:crafting_elements:294, Coil
industrialupgrade:crafting_elements:295, Plantball
industrialupgrade:crafting_elements:296, Tin Can
industrialupgrade:crafting_elements:297, Compressed Coal Ball
industrialupgrade:crafting_elements:298, 10k Coolant Cell
industrialupgrade:crafting_elements:299, 30k Coolant Cell
industrialupgrade:crafting_elements:300, 60k Coolant Cell
industrialupgrade:crafting_elements:301, Hadron Mounting Screw
industrialupgrade:crafting_elements:302, Hadron Gasket
industrialupgrade:crafting_elements:303, Hadron Socket Part
industrialupgrade:crafting_elements:304, Hadronic Active Mass
industrialupgrade:crafting_elements:305, Diamond Brace
industrialupgrade:crafting_elements:306, Baryonic Mounting Screw
industrialupgrade:crafting_elements:307, Baryonic Gasket
industrialupgrade:crafting_elements:308, Baryonic Socket part
industrialupgrade:crafting_elements:309, Baryonic Active Mass
industrialupgrade:crafting_elements:310, Large Graphite Rod
industrialupgrade:crafting_elements:311, Hybrid Gasket
industrialupgrade:crafting_elements:312, Hybrid Socket Part
industrialupgrade:crafting_elements:313, Perfect Active Mass
industrialupgrade:crafting_elements:314, Hybrid Mounting Screw
industrialupgrade:crafting_elements:315, Gravitonic Mounting Screw
industrialupgrade:crafting_elements:316, Graviton Gasket
industrialupgrade:crafting_elements:317, Graviton Socket Part
industrialupgrade:crafting_elements:318, Graviton Active Mass
industrialupgrade:crafting_elements:319, Graphite Shard
industrialupgrade:crafting_elements:320, Graphite Plate
industrialupgrade:crafting_elements:321, Security Sensor
industrialupgrade:crafting_elements:322, Reactor Pressure Sensor
industrialupgrade:crafting_elements:323, Sensor Factory
industrialupgrade:crafting_elements:324, Reactor Data Acquisition Sensor
industrialupgrade:crafting_elements:325, Sensor Assembly Rod
industrialupgrade:crafting_elements:326, Fuel control sensor
industrialupgrade:crafting_elements:327, Reactor Energy Control Sensor
industrialupgrade:crafting_elements:328, Sensor: Stamp
industrialupgrade:crafting_elements:329, Diffractive Mounting Screw
industrialupgrade:crafting_elements:330, Diffractive Gasket
industrialupgrade:crafting_elements:331, Diffractive Socket part
industrialupgrade:crafting_elements:332, Diffractive Active Mass
industrialupgrade:crafting_elements:333, High-Temperature Reactor Nuclear Accelerator
industrialupgrade:crafting_elements:334, Graphite-Water Reactor Nuclear Accelerator
industrialupgrade:crafting_elements:335, Gas-Сooled Reactor Nuclear Accelerator
industrialupgrade:crafting_elements:336, Liquid Reactor Nuclear Accelerator
industrialupgrade:crafting_elements:337, Iron Brace
industrialupgrade:crafting_elements:338, Iron Staple 
industrialupgrade:crafting_elements:339, Golden Brace
industrialupgrade:crafting_elements:340, Insulation Cover
industrialupgrade:crafting_elements:341, Emerald Brace
industrialupgrade:crafting_elements:342, Reactor Control Interface
industrialupgrade:crafting_elements:343, Iridium Staple
industrialupgrade:crafting_elements:344, Silicon Carbide
industrialupgrade:crafting_elements:345, Quantum Mounting Screw
industrialupgrade:crafting_elements:346, Quantum Gasket
industrialupgrade:crafting_elements:347, Quantum Socket Part
industrialupgrade:crafting_elements:348, Quantum Active Mass
industrialupgrade:crafting_elements:349, Quark Mounting Screw
industrialupgrade:crafting_elements:350, Quark Gasket
industrialupgrade:crafting_elements:351, Quark Socket Part
industrialupgrade:crafting_elements:352, Quark
industrialupgrade:crafting_elements:353, Quark Active Mass
industrialupgrade:crafting_elements:354, Laser
industrialupgrade:crafting_elements:355, Brass Rod
industrialupgrade:crafting_elements:356, Coil
industrialupgrade:crafting_elements:357, Small Graphite Rod
industrialupgrade:crafting_elements:358, Neutron Mounting Screw
industrialupgrade:crafting_elements:359, Neutron Gasket
industrialupgrade:crafting_elements:360, Neutron Socket Part
industrialupgrade:crafting_elements:361, Neutron Active Mass
industrialupgrade:crafting_elements:362, Neutron Transmutator
industrialupgrade:crafting_elements:363, High-Temperature Reactor Shell
industrialupgrade:crafting_elements:364, Gas-Cooled Fast Reactor Shell
industrialupgrade:crafting_elements:365, Graphite-Water Reactor Shell
industrialupgrade:crafting_elements:366, Liquid Reactor Shell
industrialupgrade:crafting_elements:367, Cylinder
industrialupgrade:crafting_elements:368, Huge Graphite Rod
industrialupgrade:crafting_elements:369, Cooling Rod Stamp
industrialupgrade:crafting_elements:370, Reactor Plate Stamp
industrialupgrade:crafting_elements:371, Advanced Coil
industrialupgrade:crafting_elements:372, Advanced Superconducting Coil
industrialupgrade:crafting_elements:373, Advanced Transistor
industrialupgrade:crafting_elements:374, Advanced Liquid Reactor Electrolytic Separator
industrialupgrade:crafting_elements:375, Advanced High-Temperature Reactor Shell
industrialupgrade:crafting_elements:376, Advanced Gas Cooled Fast Reactor Shell
industrialupgrade:crafting_elements:377, Advanced Graphite-Water Reactor Shell
industrialupgrade:crafting_elements:378, Advanced Liquid Reactor Shell
industrialupgrade:crafting_elements:379, Advanced Graphite-Water Reactor Electrolytic Separator
industrialupgrade:crafting_elements:380, Advanced Cylinder
industrialupgrade:crafting_elements:381, Proton Mounting Screw
industrialupgrade:crafting_elements:382, Proton Gasket
industrialupgrade:crafting_elements:383, Proton Socket Part
industrialupgrade:crafting_elements:384, Proton Active Mass
industrialupgrade:crafting_elements:385, Reactor Temperature Controller
industrialupgrade:crafting_elements:386, Rivium-97
industrialupgrade:crafting_elements:387, Superconducting Coil
industrialupgrade:crafting_elements:388, Singular Active Mass
industrialupgrade:crafting_elements:389, Singular Gasket
industrialupgrade:crafting_elements:390, Singular Socket Part
industrialupgrade:crafting_elements:391, Singular Mounting Screw
industrialupgrade:crafting_elements:392, Perfect High-Temperature Reactor Shell
industrialupgrade:crafting_elements:393, Perfect Gas Cooled Fast Reactor Shell
industrialupgrade:crafting_elements:394, Perfect Graphite-Water Reactor Shell
industrialupgrade:crafting_elements:395, Hybrid Active Mass
industrialupgrade:crafting_elements:396, Perfect Cylinder
industrialupgrade:crafting_elements:397, Perfect Coil
industrialupgrade:crafting_elements:398, Perfect Superconducting Coil
industrialupgrade:crafting_elements:399, Perfect Gasket
industrialupgrade:crafting_elements:400, Perfect Socket Part
industrialupgrade:crafting_elements:401, Perfect Mounting Screw
industrialupgrade:crafting_elements:402, Perfect Transistor
industrialupgrade:crafting_elements:403, Perfect Liquid Reactor Electrolytic Separator
industrialupgrade:crafting_elements:404, Perfect Graphite-Water Reactor Electrolytic Separator
industrialupgrade:crafting_elements:405, Perfect Liquid Reactor Shell
industrialupgrade:crafting_elements:406, Spectral Mounting Screw
industrialupgrade:crafting_elements:407, Spectral Gasket
industrialupgrade:crafting_elements:408, Spectral Socket Part
industrialupgrade:crafting_elements:409, Spectral Active Mass
industrialupgrade:crafting_elements:410, Medium Graphite Rod
industrialupgrade:crafting_elements:411, Steel Staple 
industrialupgrade:crafting_elements:412, Exchanger stamp
industrialupgrade:crafting_elements:413, Heatsink Stamp
industrialupgrade:crafting_elements:414, Transistor
industrialupgrade:crafting_elements:415, Improved Cylinder
industrialupgrade:crafting_elements:416, Improved Mounting Screw
industrialupgrade:crafting_elements:417, Improved High-Temperature Reactor Shell
industrialupgrade:crafting_elements:418, Improved Gas Cooled Fast Reactor Shell
industrialupgrade:crafting_elements:419, Improved Graphite-Water Reactor Shell
industrialupgrade:crafting_elements:420, Improved Liquid Reactor Shell
industrialupgrade:crafting_elements:421, Improved Gasket
industrialupgrade:crafting_elements:422, Improved Socket Part
industrialupgrade:crafting_elements:423, Improved Active Mass
industrialupgrade:crafting_elements:424, Improved Coil
industrialupgrade:crafting_elements:425, Improved Superconducting Coil
industrialupgrade:crafting_elements:426, Improved Transistor
industrialupgrade:crafting_elements:427, Improved Liquid Reactor Electrolytic Separator
industrialupgrade:crafting_elements:428, Improved Graphite-Water Reactor Electrolytic Separator
industrialupgrade:crafting_elements:429, Photon Mounting Screw
industrialupgrade:crafting_elements:430, Photon Gasket
industrialupgrade:crafting_elements:431, Photon Socket Part
industrialupgrade:crafting_elements:432, Photon Active Mass
industrialupgrade:crafting_elements:433, Battery Template
industrialupgrade:crafting_elements:434, Exotic Material
industrialupgrade:crafting_elements:435, Electrolytic Liquid Reactor Separator
industrialupgrade:crafting_elements:436, Graphite-water Reactor Electrolytic Separator
industrialupgrade:crafting_elements:437, Gasket
industrialupgrade:crafting_elements:438, Capacitor Stamp
industrialupgrade:crafting_elements:439, Sensor: Protective Dome
industrialupgrade:crafting_elements:440, Sensor: Graphite Processing
industrialupgrade:crafting_elements:441, Sensor: Radioactive Waste Processing
industrialupgrade:crafting_elements:442, Sensor: Solarite Splitter
industrialupgrade:crafting_elements:443, Radioactive Waste
industrialupgrade:crafting_elements:444, Enriched String
industrialupgrade:crafting_elements:445, Enriched Redstone Ingot
industrialupgrade:crafting_elements:446, Plutonium-plated Lapis Lazuli Crystal
industrialupgrade:crafting_elements:447, Lithium
industrialupgrade:crafting_elements:448, Boron
industrialupgrade:crafting_elements:449, Beryllium
industrialupgrade:crafting_elements:450, Lithium Plate
industrialupgrade:crafting_elements:451, Boron Plate
industrialupgrade:crafting_elements:452, Beryllium Plate
industrialupgrade:crafting_elements:453, Enriched Advanced Alloy
industrialupgrade:crafting_elements:454, iu.crafting_elements.crafting_454_element
industrialupgrade:crafting_elements:455, iu.crafting_elements.crafting_455_element
industrialupgrade:crafting_elements:456, iu.crafting_elements.crafting_456_element
industrialupgrade:crafting_elements:457, iu.crafting_elements.crafting_457_element
industrialupgrade:crafting_elements:458, iu.crafting_elements.crafting_458_element
industrialupgrade:crafting_elements:459, iu.crafting_elements.crafting_459_element
industrialupgrade:crafting_elements:460, iu.crafting_elements.crafting_460_element
industrialupgrade:crafting_elements:461, iu.crafting_elements.crafting_461_element
industrialupgrade:crafting_elements:462, iu.crafting_elements.crafting_462_element
industrialupgrade:crafting_elements:463, iu.crafting_elements.crafting_463_element
industrialupgrade:crafting_elements:464, iu.crafting_elements.crafting_464_element
industrialupgrade:crafting_elements:465, iu.crafting_elements.crafting_465_element
